iter	Passed	Remaining
0	58	58242
1	62	31266
2	67	22289
3	70	17668
4	74	14920
5	78	13033
6	82	11725
7	86	10724
8	90	9947
9	94	9327
10	98	8823
11	102	8451
12	106	8107
13	110	7793
14	114	7524
15	118	7288
16	122	7100
17	126	6918
18	131	6768
19	135	6628
20	139	6499
21	143	6380
22	147	6273
23	151	6176
24	156	6094
25	160	6014
26	164	5937
27	169	5869
28	173	5809
29	177	5745
30	181	5681
31	185	5621
32	190	5569
33	194	5521
34	198	5477
35	202	5430
36	207	5399
37	211	5365
38	216	5332
39	220	5295
40	225	5267
41	229	5239
42	233	5206
43	238	5181
44	242	5153
45	247	5126
46	251	5096
47	255	5072
48	260	5050
49	264	5030
50	269	5006
51	273	4982
52	277	4957
53	281	4936
54	286	4916
55	290	4899
56	294	4878
57	299	4862
58	303	4843
59	307	4824
60	312	4805
61	316	4786
62	320	4773
63	325	4756
64	329	4743
65	334	4731
66	338	4716
67	343	4705
68	347	4687
69	351	4671
70	355	4656
71	360	4644
72	364	4629
73	368	4616
74	373	4601
75	377	4589
76	381	4573
77	385	4560
78	389	4545
79	394	4534
80	398	4520
81	402	4505
82	406	4491
83	411	4485
84	415	4471
85	419	4457
86	423	4444
87	427	4430
88	431	4419
89	435	4406
90	440	4396
91	444	4385
92	448	4372
93	452	4362
94	457	4354
95	461	4347
96	465	4335
97	469	4325
98	474	4315
99	478	4303
100	482	4293
101	486	4282
102	490	4272
103	494	4263
104	498	4251
105	503	4242
106	507	4234
107	511	4225
108	515	4216
109	520	4208
110	524	4199
111	528	4191
112	533	4183
113	537	4177
114	541	4168
115	545	4158
116	550	4152
117	554	4143
118	558	4135
119	562	4125
120	566	4115
121	570	4106
122	575	4100
123	579	4093
124	583	4087
125	588	4079
126	593	4078
127	597	4071
128	602	4065
129	606	4058
130	610	4050
131	615	4044
132	619	4039
133	623	4032
134	628	4027
135	633	4022
136	637	4017
137	642	4010
138	646	4006
139	651	4000
140	656	3997
141	660	3991
142	665	3985
143	669	3978
144	673	3973
145	678	3968
146	682	3962
147	687	3957
148	691	3951
149	696	3948
150	701	3942
151	705	3937
152	710	3932
153	714	3927
154	719	3921
155	723	3915
156	727	3908
157	732	3902
158	736	3897
159	741	3892
160	745	3886
161	750	3880
162	754	3874
163	758	3868
164	763	3864
165	768	3858
166	772	3853
167	776	3846
168	781	3841
169	785	3834
170	789	3828
171	794	3822
172	798	3817
173	802	3810
174	807	3805
175	812	3802
176	816	3797
177	821	3792
178	825	3787
179	830	3783
180	835	3780
181	840	3775
182	844	3768
183	848	3763
184	853	3758
185	857	3752
186	861	3745
187	865	3739
188	869	3732
189	874	3726
190	878	3720
191	882	3714
192	886	3708
193	891	3702
194	895	3697
195	899	3691
196	904	3685
197	908	3679
198	912	3672
199	916	3665
200	920	3658
201	924	3651
202	928	3644
203	932	3637
204	936	3630
205	940	3623
206	944	3616
207	948	3610
208	952	3603
209	956	3599
210	960	3592
211	964	3586
212	969	3580
213	973	3573
214	978	3573
215	982	3566
216	986	3560
